row_idx,row_pos,column,action,source,value
1,0,MeasureName,replace_nearby,cached_uniclean,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
4,3,City,replace_nearby,cached_uniclean,birmingham
8,7,City,replace_nearby,cached_uniclean,birmingham
14,13,ProviderNumber,delete_as_uniclean_repair,cached_uniclean,10019
17,16,HospitalType,repair_value,cached_uniclean,acute care hospitals
22,21,Condition,repair_value,cached_uniclean,heart attack
23,22,HospitalOwner,repair_value,cached_uniclean,government - hospital district or authority
23,22,Condition,repair_value,cached_uniclean,heart attack
25,24,PhoneNumber,delete_as_uniclean_repair,cached_uniclean,3347938701
25,24,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
27,26,HospitalName,repair_value,cached_uniclean,southeast alabama medical center
28,27,HospitalOwner,repair_value,cached_uniclean,government - hospital district or authority
32,31,HospitalOwner,repair_value,cached_uniclean,government - hospital district or authority
37,36,PhoneNumber,repair_value,cached_uniclean,3347938701
40,39,HospitalType,repair_value,cached_uniclean,acute care hospitals
43,42,State,repair_value,cached_uniclean,al
43,42,HospitalOwner,repair_value,cached_uniclean,government - hospital district or authority
44,43,EmergencyService,repair_value,cached_uniclean,yes
45,44,ZipCode,repair_value,cached_uniclean,35957
47,46,State,repair_value,cached_uniclean,al
51,50,State,repair_value,cached_uniclean,al
52,51,EmergencyService,repair_value,cached_uniclean,yes
57,56,City,repair_value,cached_uniclean,boaz
57,56,Stateavg,repair_value,cached_uniclean,al_pn-3b
58,57,Address1,repair_value,cached_uniclean,2505 u s highway 431 north
58,57,PhoneNumber,repair_value,cached_uniclean,2565938310
61,60,PhoneNumber,repair_value,cached_uniclean,2565938310
64,63,ZipCode,repair_value,cached_uniclean,35957
66,65,PhoneNumber,repair_value,cached_uniclean,2565938310
70,69,Stateavg,repair_value,cached_uniclean,al_ami-1
74,73,Condition,repair_value,cached_uniclean,heart attack
78,77,CountyName,repair_value,cached_uniclean,lauderdale
89,88,City,repair_value,cached_uniclean,florence
95,94,Address1,repair_value,cached_uniclean,702 n main st
95,94,MeasureName,repair_value,cached_uniclean,heart attack patients given aspirin at arrival
99,98,State,repair_value,cached_uniclean,al
99,98,HospitalType,repair_value,cached_uniclean,acute care hospitals
102,101,PhoneNumber,repair_value,cached_uniclean,3344933541
107,106,Address1,repair_value,cached_uniclean,702 n main st
112,111,MeasureName,repair_value,cached_uniclean,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
114,113,HospitalOwner,repair_value,cached_uniclean,voluntary non-profit - private
120,119,State,repair_value,cached_uniclean,al
120,119,MeasureName,repair_value,cached_uniclean,heart attack patients given aspirin at arrival
128,127,Condition,repair_value,cached_uniclean,heart failure
137,136,CountyName,repair_value,cached_uniclean,crenshaw
138,137,ZipCode,repair_value,cached_uniclean,36049
140,139,ZipCode,repair_value,cached_uniclean,36049
141,140,State,replace_nearby,cached_uniclean,al
146,145,MeasureName,repair_value,cached_uniclean,heart attack patients given aspirin at discharge
150,149,ZipCode,replace_nearby,cached_uniclean,35640
158,157,ZipCode,repair_value,cached_uniclean,35640
158,157,HospitalOwner,repair_value,cached_uniclean,proprietary
158,157,EmergencyService,repair_value,cached_uniclean,yes
160,159,HospitalOwner,repair_value,cached_uniclean,proprietary
163,162,HospitalOwner,repair_value,cached_uniclean,proprietary
166,165,State,replace_nearby,cached_uniclean,al
