idx,col,error_type,estimated_value,current_dirty_value
29,2,0,0.5245319547760228,
37,2,0,0.5761772247110329,
159,2,0,0.3954187799384973,
245,2,0,1.2217430988986606,
304,2,0,-1.5412788426243855,
413,2,0,1.06680728909363,
480,2,0,0.0339018903934258,
495,2,0,-0.7407771586317273,
544,2,0,-0.25014709424913034,
584,3,0,0.05541639248634247,
588,2,0,0.16301506523095133,
622,3,0,-1.5221325028081802,
623,2,0,-1.0764714132092936,
667,3,0,1.4669075093288102,
698,2,0,-1.2830524929493345,
768,3,0,-0.1659939787830642,
785,3,0,-1.1623406494953943,
798,3,0,6.379966899079426e-05,
803,2,0,-0.32761499915164566,
807,3,0,-1.4667799099908285,
808,2,0,1.4541468136062066,
863,2,0,-0.1468565543791099,
872,2,0,-0.9473582383717681,
941,2,0,1.0151620191586197,
1022,2,0,1.6865505283137525,
1074,3,0,1.4669075093288102,
1134,3,0,-0.9132539818173118,
1139,3,0,0.41520824579912835,
1234,3,0,1.0240867667899967,
1239,2,0,-0.06938864947659461,
1289,2,0,1.2217430988986606,
1292,3,0,-1.3007221315387736,
1299,3,0,-1.6328376884428835,
1338,3,0,-0.8025487961826084,
1358,2,0,-0.405082904054161,
1365,3,0,0.8580289883379417,
1366,3,0,1.660641584189541,
1385,2,0,-0.7407771586317273,
1442,2,0,1.1959204639311554,
1470,2,0,-0.04356601450908951,
1493,2,0,-0.32761499915164566,
1516,3,0,-0.4427569428698226,
1654,2,0,1.325033638768681,
1669,3,0,0.11076898530369414,
1777,2,0,0.0339018903934258,
1785,3,0,1.300849730876755,
1813,2,0,1.06680728909363,
1867,2,0,1.1959204639311554,
1886,3,0,-0.9132539818173118,
1974,2,0,-1.5412788426243855,
2014,2,0,-1.179761953079314,
2105,3,0,-1.4114273171734768,
2109,2,0,-1.2830524929493345,
2122,3,0,-0.4427569428698226,
2154,3,0,-0.33205175723511926,
2180,3,0,1.5499363985548376,
2195,2,0,-0.25014709424913034,
843,3,1,0.05541639248634247,-0.027612496739685043
858,3,1,0.8580289883379417,1.1347919524247
866,2,1,0.24048297013346664,0.26630560510097173
868,2,1,-0.32761499915164566,-0.27596972921663543
870,3,1,-1.549808799216856,0.9964104703813209
935,2,1,-0.7407771586317273,-0.663309253729212
942,2,1,-0.09521128444409971,0.8860488443210942
955,2,1,-0.5858413488266967,-0.689131888696717
958,2,1,0.24048297013346664,0.44706404987350745
959,2,1,-0.32761499915164566,-0.3017923641841405
960,3,1,1.1901445452420518,1.162468248833376
1003,3,1,-0.08296508955703671,0.7473238027032384
1011,3,1,0.22147417093839747,0.1661215781210458
1040,2,1,0.24048297013346664,0.9376941142561044
1051,3,1,0.5259134314338316,0.6089423206598592
1070,3,1,0.5812660242511833,1.9650808446849752
1109,2,1,0.24048297013346664,0.2921282400684768
1119,5,1,-0.2735106913538474,1.7404093992383927
1150,4,1,1.7079396454538185,-1.8382552224195254
1157,3,1,0.22147417093839747,0.24915046734707333
1185,2,1,0.24048297013346664,0.6794677645810534
1192,2,1,1.4541468136062066,1.7381957982487626
1209,2,1,-0.12103391941160481,-0.17267918934661503
1218,2,1,-1.179761953079314,-1.3346977628843446
1235,5,1,-0.10843527409218838,-0.14145035754452018
1273,2,1,0.24048297013346664,0.42124141490600236
1341,2,1,-1.5412788426243855,-1.5929241125593958
1375,5,1,0.6509116453114432,1.9054848165000517
1395,2,1,-1.2830524929493345,-1.2314072230143243
1405,2,1,0.008079255425920702,1.8931316080537932
1427,2,1,0.24048297013346664,0.21466033516596153
1479,2,1,-1.2830524929493345,0.9893393841911147
1498,2,1,0.7569356694835687,0.9118714792885994
1498,3,1,0.8580289883379417,0.13844528171236997
1498,5,1,1.4432736481674064,-1.7922045301611105
1503,5,1,-0.7027067762341609,1.707394315786061
1533,3,1,1.2731734344680792,1.2454971380594033
1548,3,1,-0.7748724997739326,0.7750000991119143
1551,4,1,-1.4558224425508315,-1.5253556752542303
1552,2,1,-0.7665997935992324,1.8414863381187832
1559,2,1,-1.2830524929493345,-1.3605203978518499
1563,2,1,-0.25014709424913034,2.0222447828913186
1572,2,1,0.7827583044510739,0.8085809394185789
1583,2,1,1.815663703151278,-0.4825508089566763
1583,3,1,-0.24902286800909174,-0.19367027519174007
1583,5,1,0.849002146025434,0.8820172294777657
1599,4,1,1.1169071674749278,-1.5948889079576292
1606,2,1,0.008079255425920702,-0.017743379541584402
1644,4,1,-1.803488606067826,1.8122394945089169
1653,3,1,1.6883178805982169,1.826699362641596
1654,4,1,-1.490589058902531,-1.8382552224195254
1669,5,1,0.023625059717138835,1.8064395661430563
1688,2,1,-0.19850182431412014,-0.7924224285667375
1713,3,1,-1.0793117602693667,-1.1069880566780426
1716,3,1,-0.41508064646114673,1.9097282518676235
1735,2,1,0.7569356694835687,0.9635167492236095
1738,2,1,1.4025015436711963,1.3766789087036913
1745,3,1,0.27682676375574916,0.19379787452972164
1817,2,1,-1.0248261432742833,1.7898410681837729
1817,3,1,-0.9686065746346635,-0.9962828710433393
1827,4,1,-1.490589058902531,-1.8382552224195254
1842,3,1,-1.5221325028081802,-1.4944562063995044
1851,3,1,-0.27669916441776754,-0.719519906956581
1851,5,1,0.023625059717138835,1.839454649595388
1863,3,1,0.3875319493904525,0.8303526919292659
1873,5,1,-0.04240510718752478,-0.07542019063985658
1875,3,1,-1.3283984279474492,-1.4391036135821527
1879,5,1,1.179152980548752,1.2451831474534156
1909,4,1,-1.803488606067826,0.8387742366613322
1955,2,1,-0.19850182431412014,-0.45672817398917115
1991,4,1,1.5341065636953213,1.5688731800470206
1993,2,1,-1.5412788426243855,1.9447768779888035
2020,2,1,1.0151620191586197,1.1442751939961453
2034,4,1,0.3172749913858405,0.3520416077375399
2048,4,1,-0.5866570337583452,1.8817727272123157
2052,2,1,-0.19850182431412014,-0.5083734439241814
2087,3,1,0.02774009607766663,-0.055288793148360875
2088,2,1,-0.25014709424913034,0.8602262093535891
2102,2,1,0.0339018903934258,0.05972452536093091
2132,2,1,-0.19850182431412014,1.9964221479238136
2150,3,1,-0.3043754608264434,0.80267639552059
2160,2,1,-0.7407771586317273,-0.7665997935992324
2172,5,1,1.0470926467394248,-1.5610989459947877
2184,2,1,-0.19850182431412014,1.815663703151278
2196,3,1,1.4945838057374858,1.5222601021461617
