dataset,scenario,error_rate,subset_source,task_type,model_type,target,detector_mode,benchmark_assisted_detection,raha_used,episodes,rf_estimators,rf_max_depth,rf_n_jobs,reward_eval_interval,eval_sample_ratio,ve_source,delete_policy,uniclean_scope,detector_expansion,max_detector_expansion,verifier_policy,verifier_selected,expanded_semantic_errors,seed,rows,dropped_rows,feature_count,categorical_feature_count,action_counts,repair_plan_size,uniclean_candidate_repairs,uniclean_cached,uniclean_cleaned_csv,repair_fallback_count,policy_override_count,runtime_seconds,downstream_before,downstream_after,downstream_delta,downstream_fixed_before,downstream_fixed_after,downstream_fixed_delta,downstream_fixed_train_rows_after,downstream_fixed_test_rows,cell_dirty_errors,cell_changed,repair_precision,repair_recall,repair_f1,run_dir,verifier_candidate_cleaned_csv,verifier_candidate_fixed_before,verifier_candidate_fixed_after,verifier_candidate_fixed_delta,verifier_candidate_repair_f1,max_detected_errors,base_cv_folds
beers,artificial,25.0,,classification,random_forest,style,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,58,42,2406,4,8,5,"{'no_action': 0, 'repair_value': 775, 'delete': 0, 'replace_nearby': 349}",775,107,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/3_beers_025_cleaned_by_uniclean.csv,0,0,99.269863292,0.1630997059682777,0.1727493843324605,0.0096496783641828,0.1751246667534577,0.1865568829012946,0.0114322161478368,1633,701,3883.0,58.0,0.9310344827586208,0.0139067731135719,0.0274042121289012,outputs/experiments_20260519_final/demandprep/artificial/025/beers/20260519-210416,,,,,,,
flights,artificial,25.0,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,39,42,2343,33,6,6,"{'no_action': 0, 'repair_value': 39, 'delete': 0, 'replace_nearby': 0}",39,78,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/2_flights_025_cleaned_by_uniclean.csv,0,0,20.337969291,0.9965698005793168,1.0,0.0034301994206833,1.0,1.0,0.0,1640,703,39.0,39.0,1.0,1.0,1.0,outputs/experiments_20260519_final/demandprep/artificial/025/flights/20260519-210050,,,,,,,
hospitals,artificial,25.0,,classification,random_forest,HospitalOwner,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,95,42,998,2,18,17,"{'no_action': 654, 'repair_value': 1034, 'delete': 35, 'replace_nearby': 596}",1034,182,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/1_hospital_025_cleaned_by_uniclean.csv,0,35,59.17336950000001,0.7895428040287854,0.7895428040287854,0.0,0.9892863889423522,0.9892863889423522,0.0,698,300,76.0,91.0,0.7802197802197802,0.9342105263157896,0.8502994011976048,outputs/experiments_20260519_final/demandprep/artificial/025/hospitals/20260519-205145,,,,,,,
rayyan,artificial,25.0,,classification,random_forest,article_language,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,14,42,642,358,9,7,"{'no_action': 45, 'repair_value': 124, 'delete': 128, 'replace_nearby': 171}",124,272,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/4_rayyan_025_cleaned_by_uniclean.csv,0,128,58.349146,0.1347194588141663,0.1347194588141663,0.0,0.1537670778617854,0.1537670778617854,0.0,449,193,37.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/025/rayyan/20260519-211802,outputs/experiments_20260519_final/demandprep/artificial/025/rayyan/20260519-211802/candidate_cleaned.csv,0.1537670778617854,0.1433333333333333,-0.010433744528452,0.4705882352941177,,
tax,artificial,25.0,existing_tax_subset_10k,regression,ridge,rate,benchmark,True,False,50,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,686,42,9986,14,14,11,"{'no_action': 607, 'repair_value': 26, 'delete': 39, 'replace_nearby': 36}",26,1368,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/5_tax_025_cleaned_by_uniclean.csv,0,39,114.537431458,0.4052522125931295,0.4052522125931295,0.0,0.4076577318047731,0.4076577318047731,0.0,6990,2996,275.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/025/tax/20260519-212638,outputs/experiments_20260519_final/demandprep/artificial/025/tax/20260519-212638/candidate_cleaned.csv,0.4076577318047731,0.4074915452842479,-0.0001661865205252,0.2116402116402116,,
beers,artificial,5.0,,classification,random_forest,style,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,94,42,2406,4,8,5,"{'no_action': 0, 'repair_value': 620, 'delete': 0, 'replace_nearby': 544}",620,164,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/3_beers_05_cleaned_by_uniclean.csv,0,0,100.200005666,0.1751612762159487,0.1852431434203246,0.0100818672043758,0.1622995916850964,0.1849254508627439,0.0226258591776475,1633,701,3929.0,94.0,0.8936170212765957,0.0213794858742682,0.0417598806860551,outputs/experiments_20260519_final/demandprep/artificial/05/beers/20260519-210558,,,,,,,
flights,artificial,5.0,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,62,42,2317,59,6,6,"{'no_action': 0, 'repair_value': 61, 'delete': 1, 'replace_nearby': 0}",61,123,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/2_flights_05_cleaned_by_uniclean.csv,0,1,21.905012708,0.997434244242755,0.997434244242755,0.0,1.0,1.0,0.0,1621,696,62.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/05/flights/20260519-210112,outputs/experiments_20260519_final/demandprep/artificial/05/flights/20260519-210112/candidate_cleaned.csv,1.0,0.7469512195121951,-0.2530487804878049,1.0,,
hospitals,artificial,5.0,,classification,random_forest,HospitalOwner,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,183,42,995,5,18,17,"{'no_action': 1349, 'repair_value': 4, 'delete': 0, 'replace_nearby': 1045}",4,350,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/1_hospital_05_cleaned_by_uniclean.csv,0,0,59.763161499999995,0.8860719429014544,0.8860719429014544,0.0,0.9978991596638656,0.9978991596638656,0.0,696,299,163.0,80.0,1.0,0.4907975460122699,0.6584362139917695,outputs/experiments_20260519_final/demandprep/artificial/05/hospitals/20260519-205247,,,,,,,
rayyan,artificial,5.0,,classification,random_forest,article_language,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,18,42,642,358,9,7,"{'no_action': 22, 'repair_value': 100, 'delete': 0, 'replace_nearby': 354}",100,280,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/4_rayyan_05_cleaned_by_uniclean.csv,0,0,59.062405416,0.1273809523809523,0.1273809523809523,0.0,0.1273809523809523,0.1273809523809523,0.0,449,193,50.0,13.0,0.6923076923076923,0.18,0.2857142857142857,outputs/experiments_20260519_final/demandprep/artificial/05/rayyan/20260519-211903,,,,,,,
tax,artificial,5.0,existing_tax_subset_10k,regression,ridge,rate,benchmark,True,False,50,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,1438,42,9986,14,14,11,"{'no_action': 651, 'repair_value': 280, 'delete': 0, 'replace_nearby': 553}",280,2852,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/5_tax_05_cleaned_by_uniclean.csv,0,0,560.972231709,0.3979874857880668,0.3979874857880668,0.0,0.3986848704926248,0.3986848704926248,0.0,6990,2996,513.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/05/tax/20260519-212836,outputs/experiments_20260519_final/demandprep/artificial/05/tax/20260519-212836/candidate_cleaned.csv,0.3986848704926248,0.3986145698765828,-7.03006160419628e-05,0.3431952662721893,,
beers,artificial,75.0,,classification,random_forest,style,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,158,42,2406,4,8,5,"{'no_action': 454, 'repair_value': 449, 'delete': 147, 'replace_nearby': 175}",449,280,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/3_beers_075_cleaned_by_uniclean.csv,0,147,99.88713725,0.1700562075048207,0.1829074485448357,0.0128512410400149,0.1741467679578187,0.178940962438369,0.0047941944805502,1633,701,3987.0,111.0,0.981981981981982,0.0273388512666165,0.0531966813079551,outputs/experiments_20260519_final/demandprep/artificial/075/beers/20260519-210740,,,,,,,
flights,artificial,75.0,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,116,42,2293,83,6,6,"{'no_action': 9, 'repair_value': 17, 'delete': 0, 'replace_nearby': 90}",17,230,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/2_flights_075_cleaned_by_uniclean.csv,0,0,22.818090834,0.9976144270364936,0.9976144270364936,0.0,1.0,1.0,0.0,1605,688,116.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/075/flights/20260519-210136,outputs/experiments_20260519_final/demandprep/artificial/075/flights/20260519-210136/candidate_cleaned.csv,1.0,0.7486338797814207,-0.2513661202185793,0.9734513274336284,,
hospitals,artificial,75.0,,classification,random_forest,HospitalOwner,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,239,42,993,7,18,17,"{'no_action': 1462, 'repair_value': 643, 'delete': 95, 'replace_nearby': 253}",643,469,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/1_hospital_075_cleaned_by_uniclean.csv,0,95,64.074818,0.8862642421170849,0.8862642421170849,0.0,0.9977869173521348,0.9977869173521348,0.0,695,298,221.0,152.0,0.9802631578947368,0.6742081447963801,0.7989276139410187,outputs/experiments_20260519_final/demandprep/artificial/075/hospitals/20260519-205349,,,,,,,
rayyan,artificial,75.0,,classification,random_forest,article_language,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,16,42,642,358,9,7,"{'no_action': 38, 'repair_value': 78, 'delete': 16, 'replace_nearby': 343}",78,276,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/4_rayyan_075_cleaned_by_uniclean.csv,0,16,61.504607500000006,0.1114583333333333,0.1187072945521699,0.0072489612188365,0.1114583333333333,0.1187072945521699,0.0072489612188365,449,193,62.0,5.0,0.8,0.064516129032258,0.1194029850746268,outputs/experiments_20260519_final/demandprep/artificial/075/rayyan/20260519-212004,,,,,,,
tax,artificial,75.0,existing_tax_subset_10k,regression,ridge,rate,benchmark,True,False,3,10,,-1,1000,0.2,uniclean,uniclean_repair,row,none,1000.0,rollback_no_improve,candidate,0,42,9986,14,14,11,"{'no_action': 0, 'repair_value': 0, 'delete': 200, 'replace_nearby': 0}",0,3903,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/5_tax_075_cleaned_by_uniclean.csv,0,200,138.85842583299998,0.3913913574153164,0.3918800034565763,0.0004886460412599,0.3944151632681204,0.3946670612966982,0.0002518980285778,6990,2996,775.0,213.0,0.5821596244131455,0.16,0.2510121457489878,outputs/experiments_20260519_final/demandprep/artificial/075/tax/20260519-222207,,,,,,200.0,2.0
beers,artificial,1.0,,classification,random_forest,style,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,211,42,2406,4,8,5,"{'no_action': 0, 'repair_value': 946, 'delete': 0, 'replace_nearby': 331}",946,373,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/3_beers_1_cleaned_by_uniclean.csv,0,0,106.824283875,0.1642263105431521,0.1672635466510436,0.0030372361078915,0.1728072147578749,0.1906393988390231,0.0178321840811482,1633,701,4045.0,211.0,0.914691943127962,0.0477132262051916,0.0906954887218045,outputs/experiments_20260519_final/demandprep/artificial/1/beers/20260519-210922,,,,,,,
flights,artificial,1.0,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,139,42,2262,114,6,6,"{'no_action': 40, 'repair_value': 59, 'delete': 2, 'replace_nearby': 38}",59,276,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/2_flights_1_cleaned_by_uniclean.csv,0,2,22.197957167,0.9941978877958392,0.9941978877958392,0.0,1.0,1.0,0.0,1583,679,139.0,107.0,1.0,0.7697841726618705,0.8699186991869918,outputs/experiments_20260519_final/demandprep/artificial/1/flights/20260519-210202,,,,,,,
